Time,Voltage(V),Current(A),Power(W),Energy(Kwh),Frequency(Hz),PowerFactor(PF),,,
15:53:16,229.6,0.06,2.4,0,50,0.16,,,
15:53:18,229.7,0.06,2.3,0,50,0.16,,,
15:53:19,229.7,0.06,2.3,0,50,0.16,,,
15:53:20,229.8,0.06,2.3,0,50,0.15,,,
15:53:21,229.9,0.06,2.4,0,50,0.16,,,
15:53:22,229.9,0.06,2.4,0,50,0.16,,,
15:53:23,229.9,0.06,2.4,0,50,0.16,,,
15:53:24,229.8,0.06,2.4,0,50,0.16,,,
15:53:25,229.8,0.06,2.4,0,50,0.16,,,
15:53:26,229.9,0.06,2.3,0,50,0.16,,,
15:53:27,229.8,0.06,2.3,0,50,0.16,,,
15:53:28,229.8,0.06,2.3,0,50,0.16,,,
15:53:29,229.8,0.06,2.4,0,50,0.16,,,
15:53:30,229.8,0.06,2.4,0,50,0.16,,,
15:53:31,229.8,0.06,2.3,0,50,0.16,,,
15:53:32,229.6,0.06,2.4,0,50,0.16,,,
15:53:33,229.6,0.06,2.4,0,50,0.16,,,
15:53:35,229.5,0.06,2.4,0,50,0.16,,,
15:53:36,229.6,0.06,2.3,0,50,0.16,,,
15:53:37,229.6,0.06,2.3,0,50,0.16,,,
15:53:38,229.6,0.06,2.4,0,50,0.16,,,
15:53:39,229.8,0.06,2.4,0,50,0.16,,,
15:53:40,229.8,0.06,2.4,0,50,0.16,,,
15:53:41,229.8,0.06,2.4,0,50,0.16,,,
15:53:42,229.8,0.06,2.4,0,50,0.16,,,
15:53:43,229.8,0.06,2.4,0,50,0.16,,,
15:53:44,229.9,0.06,2.4,0,50,0.16,,,
15:53:45,229.9,0.06,2.4,0,50,0.16,,,
15:53:46,229.9,0.06,2.4,0,50,0.16,,,
15:53:47,229.9,0.06,2.3,0,50,0.16,,,
15:53:48,229.9,0.06,2.3,0,50,0.15,,,
15:53:49,229.9,0.06,2.4,0,50,0.16,,,
15:53:50,229.9,0.06,2.3,0,50,0.16,,,
15:53:52,229.9,0.06,2.3,0,50,0.15,,,
15:53:53,229.9,0.06,2.3,0,50,0.15,,,
15:53:54,229.9,0.06,2.4,0,50,0.16,,,
15:53:55,229.9,0.06,2.4,0,50,0.16,,,
15:53:56,229.9,0.06,2.4,0,50,0.16,,,
15:53:57,229.8,0.06,2.3,0,50,0.16,,,
15:53:58,229.8,0.06,2.3,0,50,0.15,,,
15:53:59,229.8,0.06,2.3,0,50,0.15,,,
15:54:00,229.7,0.06,2.3,0,50,0.16,,,
15:54:01,229.8,0.06,2.4,0,50,0.16,,,
15:54:02,229.7,0.06,2.3,0,50,0.16,,,
15:54:03,229.7,0.06,2.4,0,50,0.16,,,
15:54:04,229.7,0.06,2.4,0,50,0.16,,,
15:54:05,229.7,0.06,2.4,0,50,0.16,,,
15:54:06,229.8,0.06,2.3,0,50,0.16,,,
15:54:07,229.8,0.06,2.3,0,50,0.16,,,
15:54:09,229.8,0.06,2.3,0,50,0.16,,,
15:54:10,229.8,0.06,2.4,0,50,0.16,,,
15:54:11,229.8,0.06,2.4,0,50,0.16,,,
15:54:12,229.8,0.06,2.4,0,50,0.16,,,
15:54:13,229.9,0.06,2.4,0,50,0.16,,,
15:54:14,229.7,0.06,2.4,0,50,0.16,,,
15:54:15,229.7,0.06,2.3,0,50,0.16,,,
15:54:16,229.6,0.06,2.4,0,50,0.16,,,
15:54:17,229.6,0.06,2.4,0,50,0.16,,,
15:54:18,229.5,0.06,2.4,0,50,0.16,,,
15:54:19,229.5,0.06,2.4,0,50,0.16,,,
